"Patient.ID","B.cells.naive","B.cells.memory","Plasma.cells","T.cells.CD8","T.cells.CD4.naive","T.cells.CD4.memory.resting","T.cells.CD4.memory.activated","T.cells.follicular.helper","T.cells.regulatory..Tregs.","T.cells.gamma.delta","NK.cells.resting","NK.cells.activated","Monocytes","Macrophages.M0","Macrophages.M1","Macrophages.M2","Dendritic.cells.resting","Dendritic.cells.activated","Mast.cells.resting","Mast.cells.activated","Eosinophils","Neutrophils","P.value","Pearson.Correlation","RMSE","Mutation_Status"
"TCGA.05.4395",0,0.00310836750211268,0.0214538344246815,0.0732638151794115,0,0.191528179939696,0.00894243627625002,0.06392028597144,0.0067513255115995,0,0.0688106144758551,0.036075065756716,0.0187153984759992,0.0135005762336225,0.0661770693307381,0.298014546380961,0.00986903266183269,0.0530934751540388,0.0609439424083216,0,0,0.00583203431672428,0.106,0.115856727588264,1.0430531720109,"Double_Mut"
"TCGA.05.4415",0.0646730565873794,0,0.194232400541772,0.0848389057154909,0,0.123519767230416,0.046150493507505,0.0471311228581953,0.00680252523857691,0,0.0884359998077326,0.00656121475259043,0.00260640274964095,0.0575374627128431,0.0597601545960821,0.124004058380027,0,0.0441581416663836,0.0316624415249497,0,0,0.0179258521304148,0.079,0.132459601328238,1.01857729344926,"Double_Mut"
"TCGA.05.4417",0.0261974663382036,0.0218622009110472,0.0264491965533035,0,0,0.238340823881343,0.00640639006831889,0.0938962048676109,0.0364092879941369,0,0.0367227913567758,0.00620126780426512,0,0.158252031211356,0.03769996527747,0.213129054370576,0.017115045014085,0.0617637365994453,0.0119225987147282,0,0,0.00763193903733436,0.003,0.337906661296609,0.945566930465396,"Double_Mut"
"TCGA.35.3615",0.0668714471955081,0,0.104707838981877,0.0456825982347672,0,0.082539058361402,0,0.0757739507295836,0.0100922495127231,0,6e-04,0.0120523948945813,0.00428311525523438,0.0908451413714405,0.0296708079524186,0.331723838000783,0.013679225700017,0.0692759527608373,0.0565833802121777,0,0,0.00563211139903246,0.008,0.248259521592915,0.98120746518536,"Double_Mut"
"TCGA.44.6776",0.12139241165559,0,0.133090841509371,0.0724891416807956,0,0.143999606187533,0,0.0582235052194555,0,0,0.0161667472725573,0.0262976139050566,0.0245635490992556,6e-04,0.0393403563238041,0.151531898055107,0.0476427596675583,0.059010437877908,0.105680423712809,0,0,0,0.154,0.0959107818764265,1.02864096965594,"Double_Mut"
"TCGA.44.7671",0.0107817585469112,0,0.242078170132075,0.00505273283245098,0,0.0925127993662196,0,0.0523369000466664,0,0,0.0287640564149401,0,0,0.112257644603365,0.00343128913430669,0.315149149295784,0,0.0781825998157032,0.0551447681063776,0,0,0.00430813170520058,0.047,0.156390091661316,1.01500144152139,"Double_Mut"
"TCGA.4B.A93V",0.011923012409328,0,0.15496061012711,0.0614458292206995,0,0.121232470018756,0,0.082304894324239,0.0119709290199177,0,0.0393973274223494,0.0125843278087086,3e-04,0.365433032270156,0.035164480463948,0.101266084663108,0,0,0.00204883974225508,0,0,0,0.008,0.251990471465189,0.994362898613005,"Double_Mut"
"TCGA.50.7109",0.0782540947985597,0,0.11145182668311,0.0273011480190006,0,0.20296560113002,0.0295267043617823,0.111931918783346,0.0244819662194642,0,0.0530961070825544,0,0.00885683905490434,0.0603639723812119,0.0656859131378961,0.159643458224835,0,0.0491738502011485,0.0142412055892646,0,0,0.00302539433290267,0.023,0.177067622178733,1.00738326620853,"Double_Mut"
"TCGA.53.7813",0.039018716333715,0,0.353036453025249,0.129355423319824,0,0.0474721248003473,0.121485353796208,0.0944263126820784,0.00124280812556557,0,0.0119512920535436,0,0.0103865524160096,0.0510440820159574,0.0523966920472094,0.0556134280411976,0,0.0150273803179874,0.0175433810251078,0,0,0,0.049,0.154851797863533,1.0059266794038,"Double_Mut"
"TCGA.55.6970",0.0605237417163401,0,0.0482764584880575,0.0289837071685582,0,0.171497860098943,0.0239622248781119,0.0587982899399933,0.00408225419101088,0,0.0268557097339499,0,0.0129805276538548,0.084809334321824,0.0301794977151992,0.289694963787789,0,0.121648281718755,0.0325866260553903,0,0,0.00512052253222293,0.008,0.27304702298562,0.972163613842744,"Double_Mut"
"TCGA.55.8203",0,0.119328865559718,0.154624632886479,0.0602949970095204,0,0.165282900110219,0,0.0877336067347277,0.0309784264596658,0,0.0326756228107661,0,0.0013007625061506,0.119579720614388,0.0568041939514255,0.148736203962671,0,0.00610503286139134,0.013447683583032,0,0,0.00310735094984557,0.018,0.18749597358339,1.00159689955865,"Double_Mut"
"TCGA.55.8299",0.0401610578950651,0,0.0533654745978721,0.0592987439504937,0,0.0124508498893356,0.0302713584739885,0.0830075376958615,0.0264647188411213,0,0.0731903739252609,0.0378215718153713,0.00334092722114778,0.00246542911649311,0.00343822213114343,0.182047307639225,0,0.302059805585925,0.0852232123263058,0,0,0.00539340889539019,0,0.474940813572952,0.87924605080157,"Double_Mut"
"TCGA.55.8508",0,0.0499893638132861,0.37728917557788,0.0306135235388037,0,0.0470604891835675,0,0.0461270969563088,0.0277672677418449,0,0.0370487487215549,0,0,0.303137443760216,0.0126611747878971,0.0454589739343108,0,0.00341592272814242,0,0.00192260192761132,0,0.0175082173285773,0.006,0.29490789381396,0.963239633410178,"Double_Mut"
"TCGA.55.8615",0.0103383485375313,0,0.0140789565211376,0,0,0.217879993815949,0,0.120903427931337,8e-04,0,0.053724116548336,5e-04,0,0.386087337540225,0,0.18009417818534,0,0.00451640921766222,0,0.00208023741324587,0,0.00901657022171449,0.105,0.116748878942716,1.08126960891815,"Double_Mut"
"TCGA.62.A46S",0.00261244936446995,0,0.161058151503284,0.0969204125537078,0,0.113284477894641,0,0.0619861090562045,0.0584755645499258,0,0.00645945875146114,0.0431207593568197,0.0393412792468454,0.0438462330416006,0.0398319415595167,0.206026895203424,0,0.015631411339572,0.109132005932984,0,0,0.0022728506455434,0.209,0.0777432019254068,1.03792112577182,"Double_Mut"
"TCGA.67.3774",0.0242659031990717,0.0255313777732924,0.0242057197296448,0.0431882837436169,0,0.271930865482404,8e-04,0.0479960040881601,3e-04,0,0.034262903425321,0,0.0147483627259296,0.0836728792901129,0.0678363581168842,0.28015805445575,0,0.0197181957396627,0.0529935606114577,0,0,0.00840206324916391,0.022,0.178899554396075,1.01423398972967,"Double_Mut"
"TCGA.73.4670",0,0.03965101371394,0.0956426552454104,0.0697601381164334,0,0.117372289465511,0,0.110240706277347,0,0,0,0.0254216546843762,0,0.165534169242991,0,0.188254292721269,0,0.143275089594059,0,0,0,0.0448479909386642,0.153,0.0959405456097365,1.04821061103091,"Double_Mut"
"TCGA.73.4677",0.0657017892670807,0,0.133446593060255,0.0634095695215245,0,0.2129124199698,0.0151253891226823,0.0348057375123654,0,0,0.0354198584444846,0,0.0159931233631718,0.0306566898391091,0.0379020454221751,0.256929069551997,0.0392649553865509,0.0231770428472195,0.0268089115587165,0,0,0.00844680513286699,0.034,0.164129905382209,1.00871829818277,"Double_Mut"
"TCGA.73.7498",0.0255250102426985,0.00844798953146833,0.0943012423428631,0.0418553578969332,0,0.232136883538699,0,0.0846246589069494,0.020587329818708,0,0.0404843245001739,0,0.0738588882983063,0.0185502503146254,0.0646914267731713,0.193219803949855,0.00204357667235399,0.0159306790778117,0.0837425781353832,0,0,0,0.119,0.107979980475426,1.03122750407754,"Double_Mut"
